title_original,ingredients_final,category,title_cleaned,steps_cleaned
Ayam Pedas Kemangi,"ayam, daun kemangi, serai, daun salam, daun jeruk, lengkuas, jeruk nipis, gula, garam, lada, kaldu, bawang putih, bawang merah, cabai merah, cabai rawit, kemiri, ketumbar, jahe, kunyit",ayam,Ayam Pedas Kemangi,"Lumuri ayam yang telah dibersihkan dengan jeruk nipis, garam, dan lada. Diamkan selama 10 menit. Haluskan bawang putih, bawang merah, cabai merah, cabai rawit, kemiri, ketumbar, jahe, dan kunyit. Tumis bahan yang sudah dihaluskan tersebut hingga harum, lalu tambahkan serai, daun salam, daun jeruk, dan lengkuas yang telah dimemarkan. Goreng ayam yang telah dibumbui hingga setengah matang. Masukkan ayam yang telah digoreng setengah matang ke dalam bumbu yang sedang ditumis. Tambahkan air, lalu masak hingga air menyusut. Kemudian masukkan daun kemangi. Tambahkan gula, garam, dan kaldu. Sajikan."
Sup Ayam Segarrrrr,"ayam, air, garam, gula, lada, daun bawang, seledri, serai, daun salam, daun jeruk, jahe, bawang merah, bawang putih, sayuran, wortel, kembang kol, kentang, buncis",ayam,Sup Ayam,"Didihkan air. Setelah air mendidih, rebus ayam dengan api kecil. Buang rebusan pertama, lalu rebus kembali ayam untuk kedua kalinya. Sambil menunggu rebusan ayam yang kedua mendidih, Haluskan bawang merah dan bawang putih yang sudah digoreng hingga layu bersama lada hingga lembut. Setelah rebusan kedua mendidih, tambahkan bahan yang sudah dihaluskan, serai, daun salam, daun jeruk, dan jahe. Kemudian tambahkan kentang dan wortel. Biarkan hingga lunak. Setelah itu, tambahkan kembang kol dan buncis, biarkan lagi hingga mendidih. Terakhir, tambahkan daun bawang dan seledri, garam, dan gula. Matikan kompor."
Grilled chicken breast,"ayam fillet, bawang bombay, paprika merah, bawang putih, keju, garam, lada, minyak, selada, tomat",ayam,Grilled Chicken Breast,"Belah ayam fillet, tetapi jangan sampai putus. Beri garam, lada, dan bawang putih cincang. Diamkan selama 15 menit. Selipkan irisan bawang bombay, paprika merah, dan keju di setiap belahan. Panaskan oven hingga 200 derajat Celsius. Oleskan minyak pada alas dan potongan ayam, lalu panggang selama 20 menit. Hias piring dengan selada dan tomat, kemudian letakkan ayam di tengah."
Sambal ayam penyet,"ayam, daun singkong, cabai merah, bawang putih, minyak goreng, kaldu bubuk, garam, gula",ayam,Sambal Ayam Penyet,"Cuci bersih cabai merah dan bawang putih, lalu Haluskan kasar di cobek. Panaskan minyak goreng, kemudian tuang ke cobek berisi bumbu halus. Tambahkan garam, kaldu bubuk, dan gula. Haluskan lagi sambil diaduk. Bejek ayam di atas sambal. Sajikan bersama daun singkong."
Ayam Geprek,"ayam, bawang putih, ketumbar, kunyit, asam jawa, garam, daun jeruk, air, sambal, cabai rawit, cabai keriting, bawang merah, minyak goreng",ayam,Ayam Geprek,"Cuci bersih ayam, lalu ungkep bersama bawang putih, ketumbar, kunyit, asam jawa, garam, dan daun jeruk yang telah dihaluskan. Beri air, kemudian tutup panci dan biarkan sampai air menyusut. Setelah menyusut, matikan kompor. Sementara itu, panaskan minyak goreng. Tumis bawang putih dan bawang merah hingga setengah matang. Matikan kompor, lalu masukkan cabai rawit dan cabai keriting ke dalam wajan. Biarkan sebentar hingga cabai agak layu, kemudian tiriskan bawang dan cabai. Haluskan bawang dan cabai di atas cobek. Beri garam dan gula. Goreng ayam hingga kecoklatan. Angkat dan tiriskan, lalu taruh di cobek dan langsung geprek."
Ayam Goreng Tepung,"ayam, bawang putih, garam, lada, kaldu, telur, tepung terigu, tepung maizena",ayam,Ayam Goreng Tepung,"Bersihkan ayam, lalu tusuk dengan garpu. Lumuri ayam dengan bawang putih, garam, lada, dan kaldu, kemudian simpan dalam lemari es. Sebelum digoreng, tambahkan telur dan campur rata. Balurkan ayam ke dalam campuran tepung terigu dan tepung maizena, tekan dan cubit. Terakhir, goreng ayam dengan api kecil hingga matang merata."
Soto ayam,"ayam, bawang merah, bawang putih, kunyit, lengkuas, jahe, gula, garam, kaldu, lada, ketumbar, serai, daun salam, kol, daun seledri, tauge, bawang goreng",ayam,Soto Ayam,"Goreng ayam yang sudah dimarinasi dengan lada dan garam. Haluskan bawang merah, bawang putih, kunyit, lengkuas, jahe, dan ketumbar. Kemudian, tumis bumbu halus bersama serai dan daun salam hingga harum. Masukkan bumbu yang sudah ditumis ke dalam air, lalu masak hingga mendidih. Tambahkan gula, garam, dan kaldu. Tata kol, daun seledri, dan tauge di dalam mangkuk. Suwir ayam yang sudah digoreng, lalu letakkan di atasnya. Siram dengan kuah panas, kemudian taburi dengan bawang goreng."
Ayam Dan Tempe Goreng Serundeng,"ayam, kelapa, tempe, bawang putih, kunyit, garam, penyedap rasa, daun salam, serai, air",ayam,Ayam dan Tempe Goreng Serundeng,"Haluskan bawang putih dan kunyit. Bersihkan ayam. Didihkan air, rebus ayam, lalu tiriskan. Didihkan kembali air, masukkan bumbu halus, daun salam, serai, garam, dan penyedap rasa. Setelah bumbu harum, masukkan ayam, aduk rata, dan masak selama 10-15 menit. Kemudian, masukkan tempe. Setelah air berkurang, masukkan kelapa, aduk hingga rata sampai air mengering. Angkat, lalu goreng ayam dan tempe dengan api sedang hingga matang."
Opor ayam kuah Susu... 🐥🐓🍶,"ayam, bawang merah, bawang putih, cabai merah, cabai rawit, kemiri, kunyit, jahe, daun salam, ketumbar, jintan, lada, garam, susu, air",ayam,Opor Ayam Kuah Susu,"Haluskan bawang merah, bawang putih, cabai merah, kemiri, kunyit, jahe, ketumbar, dan jintan. Bersihkan ayam, lalu rebus hingga empuk dan buang airnya. Tumis bumbu halus bersama daun salam hingga harum dan matang. Tambahkan air, lalu aduk rata. Masukkan ayam, tambahkan garam dan lada, masak hingga air berkurang. Masukkan cabai rawit, lalu tambahkan susu. Masak dengan api kecil hingga keluar minyak. Tambahkan sedikit susu lagi, lalu masak hingga kental. Setelah matang, angkat."
Ayam KFC ala NR,"tepung, telur, ayam, air, garam, lada, santan",ayam,Ayam Goreng,"Potong dan bersihkan ayam, lalu tiriskan. Campurkan tepung, garam, dan lada. Kocok telur dengan air dan santan hingga berbusa. Celupkan ayam ke dalam kocokan telur, lalu balurkan ke dalam campuran tepung. Ulangi proses ini. Goreng ayam dengan api sedang hingga matang kecoklatan, lalu angkat."
Karii Ayam Simple 🐔,"ayam, wortel, kentang, kol, bawang merah, bawang putih, kemiri, jahe, ketumbar, cabai rawit, cabai merah, kunyit, santan, kaldu bubuk",ayam,Kari Ayam,"Bersihkan ayam, wortel, kentang, dan kol. Haluskan bawang merah, bawang putih, kemiri, jahe, ketumbar, cabai rawit, cabai merah, dan kunyit. Tumis bumbu halus hingga harum. Tambahkan air, lalu masukkan kentang, wortel, dan kol. Kemudian, tambahkan santan dan aduk rata. Masukkan ayam, kaldu bubuk, dan garam. Masak hingga matang."
Ayam Kampung Tanpa Santan(krebek kuning),"ayam kampung, bawang merah, bawang putih, kemiri, cabai merah, jahe, serai, daun salam, cabai rawit, lengkuas, garam, asam jawa, kaldu",ayam,Ayam Kampung Tanpa Santan,"Potong dan rebus ayam kampung hingga empuk. Haluskan bawang merah, bawang putih, kemiri, cabai merah, jahe, cabai rawit, dan lengkuas. Tumis bumbu halus hingga harum, lalu tambahkan serai dan daun salam, aduk rata. Masukkan ayam kampung yang sudah direbus, aduk rata. Tambahkan kaldu, garam, dan asam jawa, aduk hingga merata, lalu biarkan mendidih hingga bumbu meresap."
Ayam kecap pedas,"ayam, bawang putih, cabai, cabai rawit, saus sambal, kecap manis, garam",ayam,Ayam Kecap Pedas,"Rebus ayam hingga matang, dinginkan, lalu suwir dan tiriskan. Tumis bawang putih, cabai, dan cabai rawit hingga agak layu. Masukkan ayam yang sudah disuwir. Tambahkan air, garam, saus sambal, dan kecap manis, lalu aduk rata. Masak hingga air menyusut, lalu angkat."
Ayam Geprek,"ayam, tepung, garam, bawang merah, bawang putih, air, cabai",ayam,Ayam Geprek,"Haluskan bawang merah dan garam, lalu campurkan ke dalam tepung. Bersihkan ayam. Basahi ayam dengan air, lalu gulungkan ke dalam campuran tepung. Goreng ayam hingga matang kecoklatan, lalu angkat dan tiriskan. Haluskan bawang putih dan cabai. Geprek ayam, lalu letakkan bawang putih dan cabai halus di atasnya. Geprek lagi hingga cabai meresap."
Chicken wings cola,"sayap ayam, coca, pasta, bawang putih, jahe, garam",ayam,Sayap Ayam Cola,"Tumis bawang putih hingga harum. Masukkan sayap ayam, lalu aduk hingga tercampur rata. Tuangkan coca hingga sayap ayam terendam. Kemudian, masukkan jahe, garam, dan pasta. Masak hingga sayap ayam matang dan coca menyusut."
Ayam KFC KW By Queen,"ayam, bawang putih, garam, kaldu bubuk, lada, tepung tapioka, tepung terigu, telur",ayam,Ayam KFC,"Cuci bersih ayam, lalu tiriskan. Haluskan bawang putih dengan garam hingga halus. Lumuri ayam dengan bumbu halus tersebut, kemudian diamkan semalaman atau 1-2 jam di kulkas. Ambil wadah, campur tepung terigu, tepung tapioka, lada, dan kaldu bubuk, aduk rata. Setelah 1 jam atau semalaman, keluarkan ayam dari kulkas. Gulingkan ayam ke campuran tepung, lalu celupkan ke kocokan telur, kemudian gulingkan kembali ke campuran tepung hingga merata, lalu goreng hingga matang."
Ayam Lodoh ala Uti,"ayam kampung, bawang merah, bawang putih, cabai, jahe, serai, cabai rawit, ketumbar, gula, santan",ayam,Ayam Lodoh,"Potong ayam kampung, cuci bersih, lalu bakar. Haluskan bawang merah, bawang putih, cabai, jahe, dan ketumbar. Tumis bumbu halus hingga harum, lalu masukkan serai. Setelah itu, masukkan ayam kampung dan beri air secukupnya. Masukkan cabai rawit dan gula. Masak hingga ayam kampung empuk. Setelah ayam kampung agak empuk, masukkan santan dan masak lagi hingga benar-benar empuk dan matang."
Chiken krispi simple,"ayam, tepung terigu, telur, bawang putih, garam, lada, ketumbar, minyak goreng",ayam,Chicken Krispi,"Potong ayam, lalu cuci hingga bersih. Campurkan ayam, bawang putih yang sudah dihaluskan, dan telur dalam satu wadah, aduk hingga merata. Di wadah lain, campur tepung terigu, garam, lada, dan ketumbar yang sudah dihaluskan, lalu aduk hingga merata. Panaskan minyak goreng. Ambil satu potong ayam yang sudah dicampur telur, gulingkan ke dalam campuran tepung berbumbu hingga merata, kemudian goreng hingga matang."
Tongseng Ayam praktis,"ayam, kol, cabai rawit, daun bawang, bawang putih, bawang merah, daun jeruk, lengkuas, kunyit, jahe, serai, santan",ayam,Tongseng Ayam,"Bersihkan ayam, lalu Potong kasar dan tiriskan. Cuci bersih kol, daun bawang, dan cabai rawit, lalu Iris. Geprek jahe, lengkuas, dan serai. Siapkan daun jeruk yang sudah dicuci. Haluskan kunyit yang sudah dibakar, bawang merah, dan bawang putih. Tumis bumbu halus hingga harum, lalu masukkan jahe, serai, lengkuas yang telah digeprek, dan daun jeruk hingga harum dan layu. Masukkan ayam, masak sebentar sambil diaduk, lalu tambahkan air secukupnya. Biarkan sampai mendidih. Masukkan santan. Masak hingga ayam matang. Terakhir, masukkan kol, irisan cabai rawit, dan daun bawang."
Bakso ayam,"ayam, tepung sagu, air, bawang putih, lada, mie, daun bawang, seledri, kuah, bawang merah, tulang",ayam,Bakso Ayam,"Haluskan daging ayam dan tulang ayam muda menggunakan gilingan daging untuk membuat bakso urat. Tambahkan tepung sagu, bawang putih, lada, dan bawang merah yang sudah dihaluskan ke dalam adonan daging. Didihkan air di panci. Setelah mendidih, matikan api. Cetak bakso menggunakan sendok hingga habis. Kemudian, didihkan lagi bakso hingga matang, lalu angkat dan tiriskan. Untuk membuat kuah, tumis bawang merah dan bawang putih, lalu sisihkan. Didihkan air, kemudian masukkan tumisan bumbu dan bumbu kuah. Rebus mie, lalu Iris daun bawang dan seledri."
Mie Ayam Solo,"mie, ayam, minyak goreng, garam, lada, bawang merah, bawang putih, ketumbar, kemiri, kunyit, minyak wijen, jahe, lengkuas, serai, gula merah, kecap manis, daun salam, daun jeruk, bakso, kerupuk pangsit, sawi, daun bawang, bawang goreng, sambal",ayam,Mie Ayam Solo,"Rendam mie hingga sedikit lunak, lalu kukus mie yang sudah diberi sedikit minyak goreng agar tidak lengket selama 20 menit. Selagi mengukus mie, Potong dadu ayam. Haluskan bawang merah, bawang putih, ketumbar, kemiri, kunyit, dan jahe. Tumis bumbu halus tersebut menggunakan minyak goreng kurang lebih 150 ml hingga harum. Kemudian, masukkan lengkuas, serai, daun salam, dan daun jeruk ke dalam tumisan. Tambahkan garam, lada, gula merah, dan kecap manis, aduk rata. Masukkan ayam potong dadu ke dalam tumisan, lalu beri air kurang lebih 300 ml. Masak hingga bumbu meresap dan ayam matang. Untuk penyajian, siapkan mangkuk berisi mie. Tambahkan ayam yang sudah dimasak, bakso, sawi, irisan daun bawang, dan taburan bawang goreng. Lengkapi dengan kerupuk pangsit dan sambal, serta tambahkan sedikit minyak wijen untuk aroma."
Ayam cabai hijau,"ayam, bawang putih, jahe, lengkuas, kunyit, ketumbar, garam, gula, penyedap rasa, serai, daun jeruk, daun salam, sambal, cabai hijau, cabai rawit, bawang merah",ayam,Ayam Cabai Hijau,"Cuci ayam, lalu Potong. Rebus ayam bersama bawang putih, jahe, lengkuas, kunyit, ketumbar, garam, gula, penyedap rasa, serai, daun jeruk, daun salam, dan bawang merah hingga ayam empuk dan bumbu meresap. Setelah ayam direbus, angkat, lalu goreng sebentar saja, jangan terlalu kering. Haluskan cabai hijau dan cabai rawit untuk membuat sambal. Tumis sambal yang sudah dihaluskan hingga harum. Tambahkan sedikit air, tunggu sampai air agak menyusut, kemudian masukkan ayam yang sudah digoreng tadi."
Ayam bakar bacem manis,"ayam, tempe, garam, air, bawang merah, bawang putih, kemiri, ketumbar, daun salam, gula, gula jawa, kecap manis",ayam,Ayam Bakar Bacem Manis,"Keluarkan ayam dari freezer, lalu rendam dengan air hangat yang dicampur air biasa. Tambahkan sedikit garam, lalu cuci hingga bersih dan tidak ada darah. Kemudian, Potong ayam kecil. Haluskan bawang merah, bawang putih, ketumbar, kemiri, garam, dan gula. Kemudian, Tumis bumbu halus. Masukkan potongan ayam, tempe, daun salam, dan gula jawa ke dalam wajan. Beri air, lalu tambahkan kecap manis. Tutup ungkepan dan masak hingga matang. Setelah itu, siapkan tempat untuk membakar, lalu Bakar hingga matang."
Fillet Ayam Bumbu Caramel ala Lila's Kitchen,"ayam, tepung maizena, bawang putih, bawang merah, cabai, serai, daun jeruk, kecap manis, gula merah, garam, kaldu bubuk",ayam,Fillet Ayam Bumbu Caramel,"Campurkan ayam bersih dengan bawang putih dan garam yang sudah dihaluskan, lalu diamkan selama 30 menit. Baluri ayam dengan tepung maizena, lalu goreng ayam dengan api kecil hingga matang dan renyah. Blender kasar bawang merah dan cabai. Iris tipis serai dan daun jeruk. Tumis semua bahan yang sudah dihaluskan dan diiris hingga harum. Masukkan gula merah, garam, kaldu bubuk, dan kecap manis. Aduk rata hingga bumbu tercampur. Jangan terlalu lama karena karamel bisa mengeras. Koreksi rasa, kemudian masukkan ayam renyah yang sudah digoreng tadi."
Tongseng ayam tahu,"ayam, tahu, santan, bawang merah, bawang putih, cabai merah, cabai rawit, kemiri, garam, gula, penyedap rasa",ayam,Tongseng Ayam Tahu,"Haluskan bawang merah, bawang putih, cabai merah, cabai rawit, kemiri, garam, gula, dan penyedap rasa. Kemudian, Tumis bumbu halus hingga harum, lalu masukkan ayam. Tumis ayam hingga matang dan sedikit berair. Setelah itu, tuang santan, lalu masukkan tahu. Masak hingga bumbu meresap dan ayam empuk. Koreksi rasa. Jika rasa sudah pas dan ayam sudah empuk, matikan kompor dan angkat."
Soto Ayam,"ayam, bawang putih, bawang merah, daun jeruk, lada, jahe, jintan, ketumbar, daun salam, serai, lengkuas, tomat hijau, air, kaldu bubuk, gula, daun bawang",ayam,Soto Ayam,"Rebus ayam, lalu tiriskan dan Goreng sebentar. Haluskan lada, daun jeruk, jintan, ketumbar, bawang putih, bawang merah, dan jahe. Memarkan lengkuas dan serai. Setelah itu, Tumis bumbu halus bersama lengkuas, serai, dan daun salam. Masukkan ayam yang sudah digoreng. Tuangkan air, lalu Masukkan tomat hijau yang sudah diiris, serta kaldu bubuk dan gula. Masak hingga bumbu meresap, kemudian Sajikan dengan taburan daun bawang."
Ayam kecap taoge,"ayam, tauge, bawang putih, bawang merah, cabai, daun salam, lengkuas, daun seledri, kecap manis, minyak goreng, ketumbar, garam, penyedap rasa, serai",ayam,Ayam Kecap Tauge,"Haluskan bawang putih, bawang merah, cabai, dan ketumbar. Rebus ayam dengan bumbu halus tersebut, lalu tiriskan. Panaskan minyak goreng di wajan, kemudian Tumis bumbu halus bersama daun salam, lengkuas yang sudah dimemarkan, dan serai yang sudah dimemarkan. Masukkan ayam, lalu Tambahkan kecap manis, garam, dan penyedap rasa. Tuangkan sedikit air, kemudian Masak hingga matang. Terakhir, Masukkan tauge dan taburi dengan daun seledri."
Chicken Katsu,"ayam, tepung, tepung panir, saus, bawang putih, minyak wijen, margarin, saus sambal, kecap manis, air, gula",ayam,Chicken Katsu,"Pertama, Marinasi ayam dengan bawang putih dan minyak wijen. Sisihkan. Campurkan tepung dengan air dan gula hingga kekentalan yang diinginkan. Baluri ayam dengan tepung yang sudah dicampur, kemudian Baluri lagi dengan tepung panir hingga merata. Goreng ayam hingga matang dengan margarin. Sajikan Chicken Katsu dengan saus, saus sambal, dan kecap manis."
Chicken Nugget,"ayam, bawang putih, telur, tepung tapioka, garam, lada, tepung panir, tepung, air, minyak goreng",ayam,Chicken Nugget,"Masukkan ayam, bawang putih, garam, dan lada, kemudian Haluskan. Pindahkan adonan ke dalam wadah, lalu Masukkan tepung tapioka dan telur. Aduk rata. Tambahkan sedikit air jika adonan terlalu kental. Bentuk adonan menjadi nugget. Baluri nugget dengan tepung, lalu Baluri dengan tepung panir. Goreng nugget dalam minyak goreng panas hingga matang keemasan."
Semur Ayam Bumbu Merah,"ayam, kecap manis, cabai merah, bawang merah, bawang putih, kemiri",ayam,Semur Ayam Bumbu Merah,"Haluskan cabai merah, bawang merah, bawang putih, dan kemiri untuk bumbu halus. Tumis bumbu halus tersebut. Setelah itu, Masukkan ayam, lalu Aduk rata. Tuangkan air dan Diamkan. Masukkan kecap manis, kemudian Aduk rata."
Semur Ayam,"ayam, tahu, kentang, daun salam, serai, cengkeh, kayu manis, kaldu, garam, lada, pala, kecap manis, air, bawang merah, bawang putih, jahe, kemiri, ketumbar",ayam,Semur Ayam,"Pertama, Haluskan bawang merah, bawang putih, jahe, kemiri, dan ketumbar untuk bumbu halus. Goreng ayam, kentang, dan tahu, kemudian Sisihkan. Panaskan minyak, lalu Tumis bumbu halus bersama daun salam, cengkeh, kayu manis, dan serai. Masukkan kecap manis, kaldu, garam, lada, dan pala. Setelah itu, Masukkan ayam, kentang, dan tahu yang sudah digoreng, kemudian Aduk rata. Tambahkan air dan Diamkan hingga bumbu meresap."
